Date,Open,High,Low,Close,Volume,Trades
2011-05-26  18:00:00,827.50,831.25,826.25,830.75,1596,1029
2011-05-26  19:00:00,830.50,831.25,828.00,831.25,406,323
2011-05-26  20:00:00,831.00,831.00,828.25,830.50,321,207
2011-05-26  21:00:00,830.50,831.50,829.25,829.50,286,190
2011-05-26  22:00:00,829.75,830.00,827.00,829.00,427,338
2011-05-26  23:00:00,829.00,829.00,828.50,828.75,57,48
2011-05-27  00:00:00,829.00,829.00,827.75,828.25,54,48
2011-05-27  01:00:00,828.75,828.75,827.50,828.00,131,81
2011-05-27  02:00:00,828.00,829.00,828.00,829.00,252,191
2011-05-27  03:00:00,829.00,829.75,826.50,828.00,476,329
2011-05-27  04:00:00,828.00,829.00,825.25,826.25,753,539
2011-05-27  05:00:00,826.00,827.00,824.00,826.00,739,565
2011-05-27  06:00:00,825.75,826.25,824.00,825.75,296,193
2011-05-27  07:00:00,825.75,826.25,824.50,826.25,505,320
2011-05-27  09:00:00,826.25,828.50,820.75,828.00,22469,13970
2011-05-27  10:00:00,828.00,833.25,825.25,833.00,20263,13677
2011-05-27  11:00:00,833.00,834.25,828.25,830.00,18435,10905
2011-05-27  12:00:00,830.00,837.75,829.00,836.00,20152,12805
2011-05-27  13:00:00,836.00,839.00,835.50,838.50,16576,9231
2011-05-30  18:00:00,829.00,833.25,825.50,831.00,6673,3696
2011-05-30  19:00:00,831.75,838.00,831.00,836.00,1693,1110
2011-05-30  20:00:00,835.75,836.75,832.50,834.00,751,444
2011-05-30  21:00:00,834.00,836.25,832.75,836.00,365,248
2011-05-30  22:00:00,835.75,836.00,834.25,835.50,197,140
2011-05-30  23:00:00,835.50,836.00,834.25,834.75,191,158
2011-05-31  00:00:00,835.25,836.50,835.00,836.25,199,132
2011-05-31  01:00:00,836.00,836.50,836.00,836.25,79,76
2011-05-31  02:00:00,836.50,837.00,835.50,837.00,262,203
2011-05-31  03:00:00,837.00,837.25,834.00,834.75,431,281
2011-05-31  04:00:00,834.75,835.75,834.75,835.25,228,157
2011-05-31  05:00:00,835.50,842.00,835.00,842.00,1653,1006
2011-05-31  06:00:00,841.75,842.75,839.00,839.25,1274,717
2011-05-31  07:00:00,839.25,840.50,838.50,840.00,526,342
2011-05-31  09:00:00,838.00,843.75,837.25,840.75,29890,17595
2011-05-31  10:00:00,841.00,842.25,835.25,836.25,18474,11227
2011-05-31  11:00:00,836.25,836.50,823.00,827.25,27187,16085
2011-05-31  12:00:00,827.25,829.50,826.00,826.25,10876,6414
2011-05-31  13:00:00,826.00,829.00,825.50,828.25,17523,9461
2011-05-31  18:00:00,831.00,836.25,831.00,834.25,2650,1689
2011-05-31  19:00:00,834.50,835.25,834.00,834.50,429,253
2011-05-31  20:00:00,834.50,835.00,833.00,833.75,509,379
2011-05-31  21:00:00,833.25,834.00,832.75,833.75,231,187
2011-05-31  22:00:00,833.50,834.00,833.00,833.00,227,142
2011-05-31  23:00:00,833.00,833.25,832.25,833.00,234,170
2011-06-01  00:00:00,832.50,833.00,831.75,833.00,350,162
2011-06-01  01:00:00,833.00,833.50,830.50,832.25,381,238
2011-06-01  02:00:00,832.50,833.50,831.25,831.50,320,229
2011-06-01  03:00:00,831.50,832.75,830.75,831.75,439,270
2011-06-01  04:00:00,831.75,831.75,828.50,828.75,937,639
2011-06-01  05:00:00,828.75,828.75,823.00,823.25,1698,1001
2011-06-01  06:00:00,823.00,827.25,821.00,827.25,1842,1166
