Date,Open,High,Low,Close,Volume,Trades
2011-05-26  18:00:00,793.75,797.50,792.50,797.00,1596,1029
2011-05-26  19:00:00,796.75,797.50,794.25,797.50,406,323
2011-05-26  20:00:00,797.25,797.25,794.50,796.75,321,207
2011-05-26  21:00:00,796.75,797.75,795.50,795.75,286,190
2011-05-26  22:00:00,796.00,796.25,793.25,795.25,427,338
2011-05-26  23:00:00,795.25,795.25,794.75,795.00,57,48
2011-05-27  00:00:00,795.25,795.25,794.00,794.50,54,48
2011-05-27  01:00:00,795.00,795.00,793.75,794.25,131,81
2011-05-27  02:00:00,794.25,795.25,794.25,795.25,252,191
2011-05-27  03:00:00,795.25,796.00,792.75,794.25,476,329
2011-05-27  04:00:00,794.25,795.25,791.50,792.50,753,539
2011-05-27  05:00:00,792.25,793.25,790.25,792.25,739,565
2011-05-27  06:00:00,792.00,792.50,790.25,792.00,296,193
2011-05-27  07:00:00,792.00,792.50,790.75,792.50,505,320
2011-05-27  09:00:00,792.50,794.75,787.00,794.25,22469,13970
2011-05-27  10:00:00,794.25,799.50,791.50,799.25,20263,13677
2011-05-27  11:00:00,799.25,800.50,794.50,796.25,18435,10905
2011-05-27  12:00:00,796.25,804.00,795.25,802.25,20152,12805
2011-05-27  13:00:00,802.25,805.25,801.75,804.75,16576,9231
2011-05-30  18:00:00,795.25,799.50,791.75,797.25,6673,3696
2011-05-30  19:00:00,798.00,804.25,797.25,802.25,1693,1110
2011-05-30  20:00:00,802.00,803.00,798.75,800.25,751,444
2011-05-30  21:00:00,800.25,802.50,799.00,802.25,365,248
2011-05-30  22:00:00,802.00,802.25,800.50,801.75,197,140
2011-05-30  23:00:00,801.75,802.25,800.50,801.00,191,158
2011-05-31  00:00:00,801.50,802.75,801.25,802.50,199,132
2011-05-31  01:00:00,802.25,802.75,802.25,802.50,79,76
2011-05-31  02:00:00,802.75,803.25,801.75,803.25,262,203
2011-05-31  03:00:00,803.25,803.50,800.25,801.00,431,281
2011-05-31  04:00:00,801.00,802.00,801.00,801.50,228,157
2011-05-31  05:00:00,801.75,808.25,801.25,808.25,1653,1006
2011-05-31  06:00:00,808.00,809.00,805.25,805.50,1274,717
2011-05-31  07:00:00,805.50,806.75,804.75,806.25,526,342
2011-05-31  09:00:00,804.25,810.00,803.50,807.00,29890,17595
2011-05-31  10:00:00,807.25,808.50,801.50,802.50,18474,11227
2011-05-31  11:00:00,802.50,802.75,789.25,793.50,27187,16085
2011-05-31  12:00:00,793.50,795.75,792.25,792.50,10876,6414
2011-05-31  13:00:00,792.25,795.25,791.75,794.50,17523,9461
2011-05-31  18:00:00,797.25,802.50,797.25,800.50,2650,1689
2011-05-31  19:00:00,800.75,801.50,800.25,800.75,429,253
2011-05-31  20:00:00,800.75,801.25,799.25,800.00,509,379
2011-05-31  21:00:00,799.50,800.25,799.00,800.00,231,187
2011-05-31  22:00:00,799.75,800.25,799.25,799.25,227,142
2011-05-31  23:00:00,799.25,799.50,798.50,799.25,234,170
2011-06-01  00:00:00,798.75,799.25,798.00,799.25,350,162
2011-06-01  01:00:00,799.25,799.75,796.75,798.50,381,238
2011-06-01  02:00:00,798.75,799.75,797.50,797.75,320,229
2011-06-01  03:00:00,797.75,799.00,797.00,798.00,439,270
2011-06-01  04:00:00,798.00,798.00,794.75,795.00,937,639
2011-06-01  05:00:00,795.00,795.00,789.25,789.50,1698,1001
2011-06-01  06:00:00,789.25,793.50,787.25,793.50,1842,1166
2011-06-01  07:00:00,793.25,794.25,791.25,792.00,727,321
2011-06-01  09:00:00,792.25,805.00,789.50,800.75,34505,21548
2011-06-01  10:00:00,800.75,806.75,799.25,801.75,23011,15102
2011-06-01  11:00:00,801.75,803.00,791.00,796.25,25730,16040
2011-06-01  12:00:00,796.25,803.75,795.25,803.50,19459,11572
2011-06-01  13:00:00,803.75,805.75,802.25,805.00,22122,11769
2011-06-01  18:00:00,803.75,804.75,802.00,803.00,2446,1316
2011-06-01  19:00:00,803.00,804.25,802.50,803.75,552,375
2011-06-01  20:00:00,803.50,804.25,802.75,803.25,214,158
2011-06-01  21:00:00,803.25,803.50,800.75,801.00,400,289
2011-06-01  22:00:00,801.00,802.00,800.75,801.25,80,73
2011-06-01  23:00:00,801.50,802.50,801.00,801.75,80,58
2011-06-02  00:00:00,801.75,802.50,801.50,801.75,55,52
2011-06-02  01:00:00,802.50,804.00,802.00,804.00,361,256
2011-06-02  02:00:00,804.00,804.00,803.00,803.50,112,77
2011-06-02  03:00:00,803.75,805.00,803.00,804.75,460,237
2011-06-02  04:00:00,804.75,805.00,803.75,804.50,433,339
2011-06-02  05:00:00,804.50,805.25,804.50,805.00,315,212
2011-06-02  06:00:00,804.75,805.25,804.50,805.00,246,187
2011-06-02  07:00:00,805.25,805.25,802.75,804.00,414,328
2011-06-02  09:00:00,805.00,815.25,804.50,815.00,31745,19634
2011-06-02  10:00:00,815.00,816.25,808.75,812.25,29293,17794
2011-06-02  11:00:00,812.50,814.25,810.50,810.75,14410,7972
2011-06-02  12:00:00,810.50,812.00,809.50,811.50,11953,7353
2011-06-02  13:00:00,811.50,813.25,810.25,812.75,17361,8449
2011-06-02  18:00:00,812.75,812.75,811.00,811.00,1462,821
2011-06-02  19:00:00,811.00,812.00,810.75,811.25,342,221
2011-06-02  20:00:00,811.25,812.75,811.25,812.25,284,187
2011-06-02  21:00:00,812.75,813.00,811.50,812.25,313,184
2011-06-02  22:00:00,812.25,813.00,812.00,812.75,97,62
2011-06-02  23:00:00,812.50,813.25,812.50,813.25,50,34
2011-06-03  00:00:00,812.75,813.50,812.50,812.75,108,87
2011-06-03  01:00:00,812.50,814.00,812.25,814.00,170,101
2011-06-03  02:00:00,814.00,814.75,813.25,814.50,422,291
2011-06-03  03:00:00,814.50,815.25,814.00,815.00,474,295
2011-06-03  04:00:00,815.00,815.00,812.25,813.25,601,425
2011-06-03  05:00:00,813.25,813.25,808.75,809.75,943,586
2011-06-03  06:00:00,809.75,811.50,809.00,810.25,331,239
2011-06-03  07:00:00,810.25,811.25,810.25,810.75,274,181
2011-06-03  09:00:00,810.75,812.25,805.25,808.00,27500,15379
2011-06-03  10:00:00,808.00,809.25,799.00,802.25,26715,16829
2011-06-03  11:00:00,802.50,806.75,801.00,805.50,13306,7653
2011-06-03  12:00:00,805.50,805.50,799.75,803.00,13829,7623
2011-06-03  13:00:00,803.00,803.50,797.25,798.25,15358,8866
2011-06-05  18:00:00,800.25,803.50,800.25,802.75,3825,2010
2011-06-05  19:00:00,803.00,803.75,802.50,803.75,211,125
2011-06-05  20:00:00,803.75,804.25,803.00,803.00,177,148
2011-06-05  21:00:00,803.00,803.00,799.75,800.25,285,197
2011-06-05  22:00:00,800.25,801.00,799.75,800.50,72,59
2011-06-05  23:00:00,801.00,801.00,800.00,800.00,52,34
2011-06-06  00:00:00,800.50,800.75,800.25,800.25,16,13
2011-06-06  01:00:00,800.50,801.50,800.50,801.50,33,28
2011-06-06  02:00:00,801.25,801.50,800.50,801.00,195,155
2011-06-06  03:00:00,801.00,801.50,797.25,799.50,668,535
2011-06-06  04:00:00,800.00,800.00,797.00,797.50,428,306
2011-06-06  05:00:00,797.50,798.75,796.25,796.75,453,317
2011-06-06  06:00:00,797.00,797.25,791.75,792.25,1406,983
2011-06-06  07:00:00,792.25,793.75,792.00,792.25,530,365
2011-06-06  09:00:00,791.75,793.50,786.00,791.50,27525,16211
2011-06-06  10:00:00,791.50,792.00,783.50,784.75,17831,10565
2011-06-06  11:00:00,784.50,787.00,781.50,785.50,17469,10142
2011-06-06  12:00:00,785.75,785.75,778.50,779.25,20572,10694
2011-06-06  13:00:00,779.25,781.75,777.75,778.00,23584,10072
2011-06-06  18:00:00,778.25,780.50,777.25,779.25,2395,1180
2011-06-06  19:00:00,779.25,779.50,777.75,778.25,484,339
2011-06-06  20:00:00,778.50,780.50,778.50,779.25,396,269
2011-06-06  21:00:00,778.75,779.75,778.50,779.25,282,165
2011-06-06  22:00:00,779.50,780.25,778.00,779.50,295,210
2011-06-06  23:00:00,779.50,779.75,778.00,778.00,218,151
2011-06-07  00:00:00,778.25,778.75,777.00,777.75,286,179
2011-06-07  01:00:00,777.50,779.50,777.25,779.25,331,225
2011-06-07  02:00:00,779.50,781.00,779.25,781.00,518,396
2011-06-07  03:00:00,781.00,781.00,778.25,778.75,877,559
2011-06-07  04:00:00,778.50,779.25,778.50,778.50,338,249
2011-06-07  05:00:00,779.00,779.25,775.50,776.25,2527,967
2011-06-07  06:00:00,776.00,778.25,775.75,777.25,1857,931
2011-06-07  07:00:00,777.00,777.25,776.25,776.50,916,374
2011-06-07  09:00:00,776.50,784.00,775.75,780.50,41726,22288
2011-06-07  10:00:00,780.75,783.75,779.00,783.00,24630,11943
2011-06-07  11:00:00,783.25,784.00,779.50,780.00,12554,6343
2011-06-07  12:00:00,780.00,781.75,778.75,781.25,17658,7704
2011-06-07  13:00:00,781.00,783.75,779.25,783.00,29463,10881
2011-06-07  17:00:00,785.00,785.00,785.00,785.00,68,34
2011-06-07  18:00:00,785.00,790.25,784.75,789.50,2780,1680
2011-06-07  19:00:00,789.50,791.00,788.25,789.00,626,479
2011-06-07  20:00:00,789.00,789.00,787.25,787.75,473,302
2011-06-07  21:00:00,787.75,788.00,782.75,783.75,1360,950
2011-06-07  22:00:00,783.50,784.25,780.75,783.25,663,495
2011-06-07  23:00:00,783.75,784.75,782.50,783.00,127,94
2011-06-08  00:00:00,783.50,786.00,783.00,785.75,260,212
2011-06-08  01:00:00,785.50,786.75,785.00,785.00,559,392
2011-06-08  02:00:00,784.75,787.50,784.50,786.50,581,427
2011-06-08  03:00:00,786.25,786.50,784.00,784.50,458,379
2011-06-08  04:00:00,784.50,785.00,782.00,784.75,1071,902
2011-06-08  05:00:00,784.75,785.75,782.25,783.00,510,436
2011-06-08  06:00:00,782.75,783.75,781.25,783.00,1414,606
2011-06-08  07:00:00,783.00,785.25,783.00,784.75,576,377
2011-06-08  09:00:00,784.75,796.25,784.75,795.25,43280,23214
2011-06-08  10:00:00,795.25,812.75,795.00,808.75,62568,33621
2011-06-08  11:00:00,808.75,812.75,807.50,810.00,22957,11884
2011-06-08  12:00:00,810.00,812.75,804.75,806.00,26069,12471
2011-06-08  13:00:00,805.75,810.75,805.50,809.00,25828,11919
2011-06-08  18:00:00,810.25,814.00,810.00,813.00,3178,1690
2011-06-08  19:00:00,813.00,815.00,811.25,815.00,737,513
2011-06-08  20:00:00,814.50,815.25,811.75,813.50,594,408
2011-06-08  21:00:00,813.50,813.75,811.75,812.25,415,237
2011-06-08  22:00:00,812.25,813.00,812.00,812.25,196,121
2011-06-08  23:00:00,812.25,812.50,811.50,811.50,170,118
2011-06-09  00:00:00,811.50,812.00,811.25,812.00,151,101
2011-06-09  01:00:00,812.25,812.75,810.25,811.00,733,377
2011-06-09  02:00:00,811.00,813.50,811.00,813.50,480,272
2011-06-09  03:00:00,813.50,813.75,812.25,813.25,498,356
2011-06-09  04:00:00,813.25,813.25,805.75,806.50,1437,1004
2011-06-09  05:00:00,807.00,809.75,806.75,808.75,322,241
2011-06-09  06:00:00,808.75,813.25,808.50,812.75,1514,1003
2011-06-09  07:00:00,813.00,813.50,811.50,812.75,995,655
2011-06-09  09:00:00,834.25,839.25,820.75,823.25,62201,36176
2011-06-09  10:00:00,823.50,834.00,822.50,829.25,37773,22693
2011-06-09  11:00:00,829.25,836.25,827.75,835.25,23758,13716
2011-06-09  12:00:00,835.00,836.25,832.75,833.00,22074,11808
2011-06-09  13:00:00,832.75,833.50,830.00,830.50,26179,12044
2011-06-09  18:00:00,831.25,831.75,829.75,830.75,2160,1065
2011-06-09  19:00:00,830.75,832.25,830.25,831.00,523,374
2011-06-09  20:00:00,831.00,831.00,830.00,830.25,241,133
2011-06-09  21:00:00,830.50,830.50,829.75,830.25,181,94
2011-06-09  22:00:00,830.25,830.50,830.25,830.50,148,91
2011-06-09  23:00:00,830.25,830.50,829.75,830.00,210,111
2011-06-10  00:00:00,830.25,830.50,829.50,830.50,86,60
